Subject,Group,Delay,Attention,Hit
1,1,Long,Divided,0.63
2,1,Long,Divided,0.75
3,1,Long,Divided,0.68
4,1,Long,Divided,0.7
5,1,Long,Divided,0.4
6,1,Long,Divided,0.6
7,1,Long,Divided,0.85
8,1,Long,Divided,0.68
9,1,Long,Divided,0.45
10,1,Long,Divided,0.38
11,1,Long,Divided,0.5
12,1,Long,Divided,0.71
13,1,Long,Divided,0.5
14,1,Long,Divided,0.45
15,1,Long,Divided,0.59
16,1,Long,Divided,0.48
17,1,Long,Divided,0.68
18,1,Long,Divided,0.39
19,1,Long,Divided,0.34
20,1,Long,Divided,0.76
21,2,Long,Full,0.56
22,2,Long,Full,0.49
23,2,Long,Full,0.84
24,2,Long,Full,0.43
25,2,Long,Full,0.56
26,2,Long,Full,0.18
27,2,Long,Full,0.46
28,2,Long,Full,0.29
29,2,Long,Full,0.63
30,2,Long,Full,0.56
31,2,Long,Full,0.35
32,2,Long,Full,0.54
33,2,Long,Full,0.39
34,2,Long,Full,0.53
35,2,Long,Full,0.55
36,2,Long,Full,0.5
37,2,Long,Full,0.55
38,2,Long,Full,0.7
39,2,Long,Full,0.38
40,2,Long,Full,0.54
41,3,Short,Divided,0.81
42,3,Short,Divided,0.35
43,3,Short,Divided,0.76
44,3,Short,Divided,0.46
45,3,Short,Divided,0.49
46,3,Short,Divided,0.21
47,3,Short,Divided,0.74
48,3,Short,Divided,0.56
49,3,Short,Divided,0.64
50,3,Short,Divided,0.38
51,3,Short,Divided,0.49
52,3,Short,Divided,0.45
53,3,Short,Divided,0.63
54,3,Short,Divided,0.65
55,3,Short,Divided,0.7
56,3,Short,Divided,0.55
57,3,Short,Divided,0.55
58,3,Short,Divided,0.41
59,3,Short,Divided,0.64
60,3,Short,Divided,0.24
61,4,Short,Full,0.53
62,4,Short,Full,0.41
63,4,Short,Full,0.74
64,4,Short,Full,0.38
65,4,Short,Full,0.58
66,4,Short,Full,0.63
67,4,Short,Full,0.36
68,4,Short,Full,0.81
69,4,Short,Full,0.74
70,4,Short,Full,0.66
71,4,Short,Full,0.53
72,4,Short,Full,0.55
73,4,Short,Full,0.46
74,4,Short,Full,0.99
75,4,Short,Full,0.54
76,4,Short,Full,0.56
77,4,Short,Full,0.8
78,4,Short,Full,0.43
79,4,Short,Full,0.7
80,4,Short,Full,0.58
