"","group","gender","age","education","country","Arab","Asian","Black","White","Hispanic","Native_Australian","Native_American","Other","NPAS_1","NPAS_2","NPAS_3","NPAS_4","NPAS_5","NPAS_6","NPAS_7","NPAS_8","NPAS_9","NPAS_10","NPAS_11","NPAS_12","NPAS_13","NPAS_14","NPAS_15","NPAS_16","NPAS_17","NPAS_18","NPAS_19","NPAS_20","NPAS_21","NPAS_22","NPAS_23","NPAS_24","NPAS_25","NPAS_26","TIPI_1","TIPI_2","TIPI_3","TIPI_4","TIPI_5","TIPI_6","TIPI_7","TIPI_8","TIPI_9","TIPI_10","TIPI_11","TOTAL_NPAS","Extraversion","Agreeableness","Conscientousness","Emotional_Stability","Openness"
"1",2,2,24,2,185,0,0,0,1,0,0,0,0,4,3,5,5,5,5,5,5,5,4,5,2,3,3,4,4,5,4,5,5,5,4,5,5,5,5,4,5,6,7,6,6,7,4,3,1,7,115,3,5,5,2,6.5
"2",2,2,37,2,185,0,0,0,1,0,0,0,0,4,1,3,3,5,3,4,3,5,5,4,3,3,1,1,3,4,3,5,4,5,4,4,5,5,4,5,4,5,5,5,4,6,5,5,4,5,94,4.5,5,4,4,4.5
"3",2,2,26,3,185,0,0,0,1,0,0,0,0,5,5,4,4,5,4,4,3,5,5,4,2,3,4,1,3,4,4,4,4,4,3,3,4,4,3,5,5,5,5,4,5,3,5,4,4,5,98,4,3,4,3.5,4
"4",2,2,45,3,185,0,0,0,1,0,0,0,0,4,5,3,5,5,4,4,2,5,5,5,2,4,2,4,5,4,4,5,4,5,5,5,4,4,4,6,2,2,6,5,2,6,7,2,1,7,108,6,6,1.5,2,6
"5",2,2,32,3,185,0,0,0,1,0,0,0,0,4,2,5,3,5,4,5,4,5,5,5,3,2,4,5,3,5,5,5,5,5,4,5,5,5,5,1,3,1,7,1,5,6,5,1,1,6,113,2,5.5,2,1,4
"6",2,1,43,2,82,0,0,0,1,0,0,0,0,5,3,5,5,1,5,5,4,5,3,4,1,2,5,1,5,4,4,5,4,5,5,5,4,3,2,7,2,6,1,7,1,7,5,6,1,7,100,7,6.5,4.5,6.5,7
"7",2,2,20,3,185,0,0,0,1,0,0,0,0,3,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4,4,5,7,6,7,5,4,7,3,6,4,1,7,122,4,2.5,4.5,3.5,5.5
"8",2,2,24,3,187,0,0,0,1,1,0,0,0,4,5,3,5,5,4,4,4,4,5,4,3,4,2,4,2,5,5,4,4,5,4,4,4,4,5,6,6,7,6,5,3,6,3,2,2,7,106,5.5,4,6,2,5.5
"9",2,2,28,2,185,0,0,0,1,0,0,0,0,5,4,5,5,4,4,4,4,4,5,5,2,3,4,2,5,5,4,5,3,5,4,5,5,4,5,5,6,4,7,3,6,7,5,1,1,7,110,3.5,4.5,3.5,1,5
"10",2,2,40,3,185,0,0,0,1,0,0,0,0,4,3,5,4,5,3,4,2,5,5,4,2,3,4,5,5,5,4,4,5,4,4,4,4,3,5,3,2,3,3,6,5,7,7,5,2,5,105,3,6.5,2,5,6
"11",2,1,49,3,185,0,0,0,1,0,0,0,0,4,4,2,5,2,5,4,5,5,4,5,2,4,4,4,4,4,5,1,4,4,5,5,2,4,4,5,7,7,7,6,5,6,1,5,1,7,101,4,3.5,7,3,6.5
"12",2,2,42,3,187,0,0,0,1,0,0,0,0,5,5,4,4,5,5,5,4,5,5,3,3,3,4,2,4,3,5,3,4,3,5,5,4,4,3,5,6,7,3,6,4,7,2,5,2,6,105,4.5,4.5,6.5,5,6
"13",2,1,38,2,185,0,0,0,1,0,0,0,0,4,3,4,5,5,3,4,4,5,4,5,1,3,3,1,4,5,2,5,4,5,4,4,5,4,5,3,1,5,2,6,5,7,5,7,3,7,101,3,7,4,6.5,5.5
"14",2,2,32,2,185,0,0,0,1,0,0,0,0,5,5,4,5,5,3,5,2,5,5,5,3,4,4,1,3,1,3,5,4,5,5,5,4,5,5,6,7,7,7,5,5,6,7,2,2,7,106,4.5,3.5,4,1.5,5.5
"15",2,2,26,2,185,0,0,0,1,0,0,0,0,4,1,5,4,5,5,3,4,5,5,5,2,5,1,1,1,5,4,4,4,5,5,4,5,5,5,2,1,7,7,3,7,7,1,1,5,6,102,1.5,7,7,1,3
"16",2,2,23,3,185,0,0,0,1,0,0,0,0,5,5,3,3,5,4,4,4,5,5,5,3,4,2,1,4,5,5,4,4,4,4,5,5,5,5,2,4,6,5,6,6,7,2,4,1,7,108,2,5.5,6,3.5,6.5
"17",2,2,46,2,185,0,0,0,1,0,0,0,0,5,5,3,5,5,3,5,4,5,4,2,3,5,5,5,5,5,4,5,5,4,5,4,5,2,5,5,2,2,2,6,2,7,6,2,2,7,113,5.5,6.5,2,4,6
"18",2,3,40,3,185,0,0,0,1,0,0,0,0,5,5,1,4,5,3,5,5,4,2,2,1,3,5,4,3,2,5,3,5,2,5,4,4,2,5,7,7,3,4,7,2,6,5,5,2,6,94,6.5,3.5,3,4.5,6.5
"19",2,1,42,3,185,0,0,0,1,0,0,0,0,2,3,4,3,5,3,4,4,5,5,4,2,4,3,4,4,4,4,4,3,4,4,5,3,5,4,5,2,5,4,5,5,7,3,5,3,7,99,4,6.5,5,4.5,5
"20",2,1,34,2,185,0,0,0,1,0,0,0,0,4,4,1,5,4,5,4,5,5,5,5,2,4,5,1,5,3,3,4,2,4,5,4,2,1,4,2,3,7,2,2,7,6,1,6,6,6,96,1.5,5.5,7,6,2
"21",2,1,45,2,185,0,0,0,1,0,0,0,0,4,1,3,2,4,2,3,5,5,5,5,1,3,2,1,4,5,4,5,4,4,2,4,4,3,5,3,1,5,3,6,4,6,5,6,3,6,90,3.5,6.5,4,5.5,5.5
"22",2,2,21,2,185,0,0,0,1,0,0,0,0,3,2,2,3,5,4,4,2,5,5,4,1,3,4,3,3,5,4,4,4,4,3,4,4,5,5,2,3,6,5,5,5,6,3,3,1,7,95,2.5,5.5,5.5,3,6
"23",2,1,21,2,185,0,0,0,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,1,6,4,7,2,7,1,2,1,1,7,127,1,1.5,5,1,4.5
"24",2,2,32,3,185,0,0,0,1,0,0,0,0,4,5,4,3,5,3,3,3,5,5,5,3,3,2,2,4,3,5,3,5,5,5,5,5,5,5,5,6,3,5,6,5,3,5,2,1,6,105,4,2.5,3,2.5,6.5
"25",2,1,35,3,185,0,0,0,0,0,0,0,1,5,5,5,4,5,2,5,5,5,5,5,1,4,5,1,5,2,3,5,2,2,4,5,5,3,5,4,6,3,5,5,5,6,6,1,1,6,103,3.5,4,2.5,2,6
"26",2,2,31,3,185,0,0,0,1,0,0,0,0,5,5,4,4,5,4,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,7,5,1,5,5,7,124,3,4,6,5,4
"27",2,1,47,3,185,0,0,0,1,0,0,0,0,5,4,4,5,4,4,3,2,5,2,5,1,3,5,5,4,3,3,5,3,4,3,2,4,5,5,2,5,3,6,5,2,6,6,1,2,7,98,4,4.5,2.5,1.5,5.5
"28",2,1,30,3,185,0,0,0,1,0,0,0,0,4,3,4,4,5,4,3,4,5,5,4,1,5,4,1,3,1,3,5,5,4,5,5,4,4,4,7,5,4,6,6,7,7,6,4,1,5,99,4,5,3,3,6.5
"29",2,2,25,2,185,0,0,0,1,0,0,0,0,5,5,5,3,4,5,3,4,5,5,4,2,4,3,2,3,5,4,5,3,5,5,5,5,4,5,6,4,6,7,3,5,7,4,3,2,7,108,4.5,5.5,5,2,4.5
