"","Subject","Group","Block","Trial","Emotion","SameDiff","Gender","ACC","RT"
"1",10,"A",1,1,"pos","same","female",0,NA
"2",10,"A",1,2,"neg","same","female",0,NA
"3",10,"A",1,3,"neu","diff","female",1,897
"4",10,"A",1,4,"neu","diff","female",1,1469
"5",10,"A",1,5,"neu","same","female",1,956
"6",10,"A",1,6,"neg","diff","female",0,NA
"7",10,"A",1,7,"pos","diff","female",1,1332
"8",10,"A",1,8,"neu","diff","female",0,NA
"9",10,"A",1,9,"pos","same","female",1,827
"10",10,"A",1,10,"neu","same","female",1,1034
"11",10,"A",1,11,"pos","same","female",1,656
"12",10,"A",1,12,"pos","diff","female",1,892
"13",10,"A",1,13,"neu","diff","female",1,1256
"14",10,"A",1,14,"neg","diff","female",1,1260
"15",10,"A",1,15,"pos","diff","female",1,913
"16",10,"A",1,16,"pos","diff","female",1,1055
"17",10,"A",1,17,"pos","same","female",1,683
"18",10,"A",1,18,"pos","same","female",1,652
"19",10,"A",1,19,"pos","same","female",1,855
"20",10,"A",1,20,"pos","same","female",1,1275
"21",10,"A",1,21,"neu","diff","female",1,1106
"22",10,"A",1,22,"pos","same","female",1,697
"23",10,"A",1,23,"pos","diff","female",1,829
"24",10,"A",1,24,"neg","diff","female",1,1323
"25",10,"A",1,25,"neu","diff","female",1,1373
"26",10,"A",1,26,"neg","same","female",1,937
"27",10,"A",1,27,"pos","diff","female",1,1037
"28",10,"A",1,28,"neg","same","female",1,932
"29",10,"A",1,29,"pos","same","female",1,648
"30",10,"A",1,30,"neu","diff","female",0,1297
"31",10,"A",1,31,"pos","same","female",1,717
"32",10,"A",1,32,"neg","diff","female",1,820
"33",10,"A",1,33,"neg","diff","female",1,992
"34",10,"A",1,34,"neg","same","female",1,782
"35",10,"A",1,35,"neg","same","female",1,738
"36",10,"A",1,36,"neu","diff","female",1,846
"37",10,"A",1,37,"pos","diff","female",1,751
"38",10,"A",1,38,"pos","diff","female",1,958
"39",10,"A",1,39,"neu","diff","female",1,887
"40",10,"A",1,40,"pos","same","female",1,1297
"41",10,"A",1,41,"neg","diff","female",0,NA
"42",10,"A",1,42,"neu","diff","female",1,1204
"43",10,"A",1,43,"neg","same","female",1,637
"44",10,"A",1,44,"neu","same","female",1,804
"45",10,"A",1,45,"neg","same","female",1,749
"46",10,"A",1,46,"neg","diff","female",1,972
"47",10,"A",1,47,"neg","same","female",1,872
"48",10,"A",1,48,"pos","diff","female",1,973
"49",10,"A",1,49,"pos","diff","female",1,1017
"50",10,"A",1,50,"pos","same","female",1,670
"51",10,"A",1,51,"neg","diff","female",1,780
"52",10,"A",1,52,"pos","same","female",1,704
"53",10,"A",1,53,"neg","same","female",1,724
"54",10,"A",1,54,"pos","same","female",1,621
"55",10,"A",1,55,"neg","same","female",1,785
"56",10,"A",2,1,"pos","same","female",0,NA
"57",10,"A",2,2,"neg","same","female",0,NA
"58",10,"A",2,3,"neu","diff","female",1,818
"59",10,"A",2,4,"neu","diff","female",1,1134
"60",10,"A",2,5,"neu","same","female",1,714
"61",10,"A",2,6,"neu","same","female",0,NA
"62",10,"A",2,7,"neu","same","female",0,NA
"63",10,"A",2,8,"pos","diff","female",0,1037
"64",10,"A",2,9,"pos","diff","female",0,1492
"65",10,"A",2,10,"neu","diff","female",0,NA
"66",10,"A",2,11,"neu","diff","female",0,1224
"67",10,"A",2,12,"neu","same","female",1,948
"68",10,"A",2,13,"neu","same","female",1,715
"69",10,"A",2,14,"neu","same","female",1,1106
"70",10,"A",2,15,"neu","same","female",1,776
"71",10,"A",2,16,"pos","diff","female",1,780
"72",10,"A",2,17,"neg","diff","female",1,736
"73",10,"A",2,18,"neu","diff","female",1,748
"74",10,"A",2,19,"pos","diff","female",1,1019
"75",10,"A",2,20,"neu","same","female",0,783
"76",10,"A",2,21,"pos","same","female",1,579
"77",10,"A",2,22,"neg","diff","female",1,735
"78",10,"A",2,23,"neu","diff","female",1,666
"79",10,"A",2,24,"neg","same","female",1,648
"80",10,"A",2,25,"neu","same","female",1,801
"81",10,"A",2,26,"neg","same","female",1,779
"82",10,"A",2,27,"neg","diff","female",1,703
"83",10,"A",2,28,"pos","diff","female",1,706
"84",10,"A",2,29,"neg","same","female",1,569
"85",10,"A",2,30,"pos","same","female",1,978
"86",10,"A",2,31,"neg","same","female",1,542
"87",10,"A",2,32,"neg","diff","female",1,578
"88",10,"A",2,33,"pos","diff","female",1,654
"89",10,"A",2,34,"neg","same","female",1,458
"90",10,"A",2,35,"pos","same","female",1,382
"91",10,"A",2,36,"neg","same","female",1,657
"92",10,"A",2,37,"pos","same","female",1,429
"93",10,"A",2,38,"neg","same","female",1,540
"94",10,"A",2,39,"pos","same","female",1,496
"95",10,"A",2,40,"neu","diff","female",1,779
"96",10,"A",2,41,"neu","diff","female",1,767
"97",10,"A",2,42,"neg","diff","female",1,769
"98",10,"A",2,43,"neu","same","female",1,754
"99",10,"A",2,44,"neg","same","female",1,769
"100",10,"A",2,45,"neg","diff","female",1,1250
"101",10,"A",2,46,"pos","diff","female",1,675
"102",10,"A",2,47,"pos","diff","female",1,754
"103",10,"A",2,48,"pos","same","female",1,480
"104",10,"A",2,49,"pos","same","female",1,698
"105",10,"A",2,50,"neu","diff","female",1,733
"106",10,"A",2,51,"pos","same","female",1,457
"107",10,"A",2,52,"neu","same","female",1,685
"108",10,"A",2,53,"neu","diff","female",1,766
"109",10,"A",2,54,"pos","diff","female",1,912
"110",10,"A",2,55,"neu","same","female",1,653
"111",10,"A",3,1,"neu","same","female",0,NA
"112",10,"A",3,2,"pos","same","female",0,NA
"113",10,"A",3,3,"neu","same","female",1,770
"114",10,"A",3,4,"pos","same","female",1,691
"115",10,"A",3,5,"pos","diff","female",1,660
"116",10,"A",3,6,"pos","same","female",1,512
"117",10,"A",3,7,"pos","same","female",1,623
"118",10,"A",3,8,"neg","diff","female",1,674
