Subject,Group,Block,Trial,Emotion,SameDiff,Gender,ACC,RT
10,1,1,1,pos,same,male,0,NA
10,1,1,2,neg,same,male,0,NA
10,1,1,3,neu,diff,male,1,897
10,1,1,4,neu,diff,male,1,1469
10,1,1,5,neu,same,male,1,956
10,1,1,6,neg,diff,male,0,NA
10,1,1,7,pos,diff,male,1,1332
10,1,1,8,neu,diff,male,0,NA
10,1,1,9,pos,same,male,1,827
10,1,1,10,neu,same,male,1,1034
10,1,1,11,pos,same,male,1,656
10,1,1,12,pos,diff,male,1,892
10,1,1,13,neu,diff,male,1,1256
10,1,1,14,neg,diff,male,1,1260
10,1,1,15,pos,diff,male,1,913
10,1,1,16,pos,diff,male,1,1055
10,1,1,17,pos,same,male,1,683
10,1,1,18,pos,same,male,1,652
10,1,1,19,pos,same,male,1,855
10,1,1,20,pos,same,male,1,1275
10,1,1,21,neu,diff,male,1,1106
10,1,1,22,pos,same,male,1,697
10,1,1,23,pos,diff,male,1,829
10,1,1,24,neg,diff,male,1,1323
10,1,1,25,neu,diff,male,1,1373
10,1,1,26,neg,same,male,1,937
10,1,1,27,pos,diff,male,1,1037
10,1,1,28,neg,same,male,1,932
10,1,1,29,pos,same,male,1,648
10,1,1,30,neu,diff,male,0,1297
10,1,1,31,pos,same,male,1,717
10,1,1,32,neg,diff,male,1,820
10,1,1,33,neg,diff,male,1,992
10,1,1,34,neg,same,male,1,782
10,1,1,35,neg,same,male,1,738
10,1,1,36,neu,diff,male,1,846
10,1,1,37,pos,diff,male,1,751
10,1,1,38,pos,diff,male,1,958
10,1,1,39,neu,diff,male,1,887
10,1,1,40,pos,same,male,1,1297
10,1,1,41,neg,diff,male,0,NA
10,1,1,42,neu,diff,male,1,1204
10,1,1,43,neg,same,male,1,637
10,1,1,44,neu,same,male,1,804
10,1,1,45,neg,same,male,1,749
10,1,1,46,neg,diff,male,1,972
10,1,1,47,neg,same,male,1,872
10,1,1,48,pos,diff,male,1,973
10,1,1,49,pos,diff,male,1,1017
10,1,1,50,pos,same,male,1,670
10,1,1,51,neg,diff,male,1,780
10,1,1,52,pos,same,male,1,704
10,1,1,53,neg,same,male,1,724
10,1,1,54,pos,same,male,1,621
10,1,1,55,neg,same,male,1,785
10,1,2,1,pos,same,female,0,NA
10,1,2,2,neg,same,female,0,NA
10,1,2,3,neu,diff,female,1,818
10,1,2,4,neu,diff,female,1,1134
10,1,2,5,neu,same,female,1,714
10,1,2,6,neu,same,female,0,NA
10,1,2,7,neu,same,female,0,NA
10,1,2,8,pos,diff,female,0,1037
10,1,2,9,pos,diff,female,0,1492
10,1,2,10,neu,diff,female,0,NA
10,1,2,11,neu,diff,female,0,1224
