"Group","in_couple","TA","DOI","OSF","Report","Test"
102,FALSE,"A",100,95,30,81
58,TRUE,"A",92,93,31,68
88,TRUE,"B",98,88,31,83
65,FALSE,"B",88,95,31,66
46,TRUE,"B",90,97,31,84
33,TRUE,"A",96,100,32,65
37,TRUE,"A",96,94,32,84
23,TRUE,"C",98,100,32,84
87,FALSE,"D",88,72,32,64
71,FALSE,"D",100,100,35,62
56,TRUE,"A",100,97,36,88
6,TRUE,"A",90,100,36,60
32,TRUE,"A",97,100,37,60
63,TRUE,"B",98,98,37,88
95,TRUE,"C",100,97,38,89
72,TRUE,"A",100,100,38,89
34,TRUE,"A",100,94,38,90
120,TRUE,"B",100,94,39,77
7,TRUE,"C",100,100,39,77
24,TRUE,"C",96,92,39,59
25,TRUE,"C",100,100,40,73
38,FALSE,"A",98,94,40,73
54,TRUE,"B",99,95,40,76
14,TRUE,"C",100,100,41,69
20,TRUE,"C",98,100,41,81
31,TRUE,"C",100,100,43,93
67,TRUE,"C",100,100,43,93
97,TRUE,"C",98,100,44,92
39,TRUE,"A",95,97,45,66
44,TRUE,"B",98,100,45,66
112,FALSE,"B",90,100,45,84
27,TRUE,"C",100,100,45,94
12,TRUE,"B",100,95,46,94
19,TRUE,"C",98,100,46,84
74,TRUE,"A",100,99,47,64
45,TRUE,"B",99,100,47,93
49,TRUE,"B",100,99,47,55
43,TRUE,"B",98,98.5,47,64
110,TRUE,"B",100,97,48,95
68,TRUE,"C",100,100,49,63
57,TRUE,"A",100,100,49,55
9,TRUE,"B",100,100,49,54
115,TRUE,"B",100,96,49,55
105,TRUE,"A",100,99,49,86
13,FALSE,"B",100,100,51,54
69,TRUE,"C",100,100,52,53
59,TRUE,"A",98,98,54,87
47,TRUE,"B",98,100,55,62
90,TRUE,"D",100,98,57,88
2,TRUE,"A",100,100,57,97
4,TRUE,"A",100,96,58,97
52,TRUE,"B",100,97,58,97
80,TRUE,"B",100,99,62,96
86,TRUE,"B",98,100,63,96
16,TRUE,"C",98,100,65,97
91,TRUE,"C",100,100,66,97
93,TRUE,"C",100,100,66,53
10,TRUE,"A",100,100,66,97
55,TRUE,"A",96,91,67,96
5,TRUE,"B",100,100,67,52
64,TRUE,"B",100,97,70,81
111,TRUE,"B",98,100,70,53
18,TRUE,"C",100,100,70,82
21,TRUE,"C",100,100,70,52
26,TRUE,"C",100,100,71,81
42,TRUE,"A",94,95,71,66
107,FALSE,"A",90,100,72,96
11,TRUE,"B",98,98,72,83
17,TRUE,"C",98,100,73,53
70,TRUE,"C",100,97,73,66
41,TRUE,"A",97,100,73,53
101,TRUE,"A",100,100,73,68
103,TRUE,"A",100,97,74,68
62,TRUE,"B",100,100,74,83
1,TRUE,"A",89,100,75,53
77,TRUE,"A",97,100,75,68
50,TRUE,"B",100,100,75,81
81,TRUE,"B",100,99,76,66
28,TRUE,"C",100,100,76,66
3,TRUE,"C",100,100,76,95
15,TRUE,"C",100,100,77,53
30,TRUE,"C",100,97,78,82
92,TRUE,"C",100,100,79,54
40,TRUE,"A",97,95,79,95
73,TRUE,"A",100,100,79,95
22,TRUE,"C",100,100,79,54
98,TRUE,"D",100,100,82,54
99,TRUE,"D",100,100,83,94
36,TRUE,"A",97,100,86,57
118,TRUE,"B",100,100,93,88
66,TRUE,"B",99,100,98,85
60,TRUE,"B",100,98,98,65
114,TRUE,"B",97,100,99,66
29,TRUE,"C",100,100,99,65
8,TRUE,"A",100,100,99,65
